,郵遞區號,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,主建物面積,陽台面積,附屬建物面積
0,806,-0.5410330351870677,5,12,14,2,4,0,27.916666666666668,0.0435962599579688,-0.8193256863726953,0.0,179750,2499123,0.1271594491172593,0.0352489844019942,-0.4384519028208025
1,112,0.7537991510133588,5,4,7,4,4,2,0.75,-0.2005824869081308,0.3114702319678166,1.0,300436,2781335,-0.4640833788451982,-0.1609793988514934,-0.4384519028208025
2,103,0.4828688066107044,0,6,7,2,4,2,43.91666666666666,0.2119359607385975,-0.8193256863726953,0.0,302091,2773374,0.83240747309353,2.461655601675554,-0.4384519028208025
3,247,0.3909404319686256,5,4,4,2,1,1,45.41666666666666,-0.6854927512728087,-0.8193256863726953,0.0,298394,2775413,0.0524761445325278,-1.6420771089734696,-0.4384519028208025
4,242,-0.7115992246863702,5,3,8,2,4,2,27.25,-0.8980718956032956,-0.8193256863726953,0.0,292572,2767887,-0.9681956847921354,-0.3333191093610782,-0.0220986841647917
5,404,1.5915129880131744,5,3,25,10,4,0,2.833333333333333,1.9596812500719505,1.9057071004478825,2.0,216638,2672961,1.436380409792021,1.3201183112704826,1.1500957622052088
6,804,-0.6400272770565374,5,13,13,2,4,0,9.5,-0.1856444929822048,-0.2415693018653845,1.0,176287,2507053,-0.5036881615795252,-0.5926818420091662,0.0569016701442977
7,247,0.1891546454340132,5,2,5,2,4,1,34.666666666666664,-0.5964393259451725,-0.8193256863726953,0.0,296993,2774882,-0.0632263993127569,-0.0722500429455687,-0.4384519028208025
8,105,-1.0534526105449131,5,10,15,2,4,0,39.333333333333336,-0.3591550378141156,-0.8193256863726953,0.0,306692,2772439,-0.0810485515432041,-0.4135167964298948,-0.4384519028208025
9,807,-1.160522129245687,5,5,18,2,4,0,27.916666666666668,-0.3878819492101272,-0.8193256863726953,0.0,181580,2505608,0.0038188400303543,0.040367985704259,-0.4384519028208025
10,235,0.3432818785267325,5,4,5,2,4,1,35.0,-0.5200257416317812,-0.8193256863726953,0.0,297939,2765921,0.0408776010174749,0.0523123220762104,-0.4384519028208025
11,235,1.840404556063728,5,4,5,2,4,1,34.75,-0.092569300059127,-0.8193256863726953,0.0,301600,2764363,0.5229243851552868,0.2929053832826605,-0.2462888788257204
12,235,1.8563868747923504,5,18,20,10,4,0,5.333333333333333,1.6982663563682436,2.4124025392671284,2.0,299017,2767077,1.3155858224523234,1.3115866424333744,-0.4384519028208025
13,300,-0.4783054383724728,5,6,9,2,4,2,26.33333333333333,-0.0046649511873309,0.944839530491874,1.0,246320,2744002,-0.0185295730840162,-0.7052998706589939,-0.4384519028208025
14,804,-0.7799987421324763,5,7,15,10,4,0,6.583333333333333,0.0556615627442934,0.184796372263005,1.0,178068,2507349,-0.2776580086886147,-0.4783574795919169,0.3814436662248805
15,221,-1.1764804144123122,5,27,29,2,4,0,9.75,-0.8997955102870562,0.2496781052825426,1.0,315896,2773192,-1.3574541208095237,1.0471049084830215,-0.4384519028208025
16,242,0.7622829983986278,5,2,5,10,4,1,11.416666666666666,-0.1672592696887573,-0.8193256863726953,0.0,291898,2768489,0.2213622537639091,0.175168353330568,-0.4384519028208025
17,112,-0.1592599028499643,5,11,14,2,4,0,13.666666666666666,0.740511130425213,1.051430949023971,1.0,297058,2779430,0.5534766461217678,-0.1234400559682174,-0.1245856302955022
18,221,-0.8666156995730128,5,20,23,2,4,0,26.416666666666668,-0.3287045117343432,-0.8193256863726953,0.0,314230,2774211,0.1347975143588794,0.0847326636572213,-0.4384519028208025
19,106,0.5074551405345858,5,5,7,2,4,2,44.333333333333336,0.7726852711887464,-0.8193256863726953,0.0,303516,2768063,1.1452852566947156,-0.0893133806197849,-0.4384519028208025
20,802,-0.6582447170509677,5,2,15,10,4,0,3.8333333333333335,0.1412677587044086,0.4953018088565062,1.0,179132,2502607,-0.0790683124064879,-0.940773930563179,-0.152342511539236
21,221,-0.8563053014759011,5,10,18,2,4,0,25.166666666666668,-0.7119215097571395,-0.8193256863726953,0.0,317196,2773893,-0.8454208583157209,-0.375977453546619,0.4070654027575583
22,110,-0.4740995650228352,5,3,7,2,4,2,21.5,-0.888879283956572,-0.8193256863726953,0.0,306592,2769944,-1.3687697730193311,0.2758420456084443,0.0483610913000716
23,100,1.914235658521366,5,5,5,2,4,1,42.25,1.0559326175534214,-0.8193256863726953,0.0,302721,2770312,1.5549118666897583,3.212442459341072,3.5435929832995074
