,郵遞區號,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,主建物面積,陽台面積,附屬建物面積,單價
0,106,-0.2567159967515666,5,11,11,2,4,0,32.583333333333336,-0.1741537284238003,-0.8193256863726953,0.0,305266,2768378,0.3939259499634779,0.183700022167676,-0.4384519028208025,4.627714497782282
1,108,0.100134331793684,5,7,12,2,4,0,24.166666666666668,0.314203765308399,-0.8193256863726953,0.0,300677,2767990,-0.3161312262019611,0.6085771302556623,-0.4384519028208025,1.8872581450501995
2,830,0.1819205432726367,5,10,15,11,0,0,6.166666666666667,0.4233660286132435,0.1616243247560272,1.0,184815,2504666,-0.0988707037736512,-0.3606204496398243,1.5258812313511467,1.4890721792686148
3,242,0.0855940267849369,5,9,14,11,4,0,8.833333333333334,0.1642492878212176,0.5246530690320114,1.0,296653,2772355,-0.0711473558596224,0.3150877222591419,0.2319835364509276,2.051217072136734
4,220,-0.9381155465168516,5,41,43,2,5,0,11.0,0.9858389537471534,0.5323770848676707,1.0,297377,2768472,0.7919540164434673,1.7194004128471445,-0.4384519028208025,3.269197673350993
5,108,0.2605102910058646,5,2,12,2,4,0,39.333333333333336,-0.411438016554857,-0.8193256863726953,0.0,301365,2768583,-0.3712950307247742,-0.6182768485204907,-0.4384519028208025,2.238598703092774
6,238,0.8564224607445157,5,2,4,2,4,1,46.0,-0.8687704459793637,-0.8193256863726953,0.0,292687,2763850,-0.2454083998906624,-1.6420771089734696,-0.4384519028208025,1.348535956051585
7,324,-0.618421104820399,5,7,13,2,4,0,17.0,-0.4683173011189603,-0.8193256863726953,0.0,271007,2756216,-0.4451296613937701,-0.3418507781981864,-0.1907751163382525,1.2079997328345549
8,234,0.7361585165068786,5,5,5,2,4,1,42.833333333333336,-0.4229287811132617,-0.8193256863726953,0.0,303269,2765580,-0.1093376820677236,1.9139224623332105,-0.4384519028208025,2.074639776006239
9,320,-0.3265094607935527,5,15,15,11,4,0,6.333333333333333,-0.5183021269480205,1.1147678788763766,1.0,273749,2758835,-0.7778098363621193,-0.5039524861032414,-0.1630182350945183,1.254845140573565
10,243,-0.3333109588389669,5,5,13,2,4,0,28.75,-0.3039993679337732,1.4901550484894155,1.0,292757,2772935,-0.0063652469584726,0.0147729791929347,-0.3231540884237535,1.348535956051585
11,402,-0.8230188181087694,5,8,14,2,4,0,29.5,-0.3855837962984463,-0.8193256863726953,0.0,216486,2667851,-0.353755769799572,0.0949706662617512,-0.4384519028208025,1.114308917356535
12,111,-0.136019448397967,5,4,5,2,4,1,33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,-0.0915155298372764,0.7416711641145498,-0.4384519028208025,2.543093853396339
13,408,0.1009514729016135,5,5,25,2,5,0,7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,1.7291729107207985,0.6000454614185544,1.0732305526071753,2.051217072136734
14,231,-1.1749182328824468,5,17,18,2,5,0,21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,-0.7959148798978117,-0.4374054691737978,-0.011422960609509,1.8638354411806943
15,116,1.1998139945709263,5,3,12,2,4,0,26.58333333333333,-0.309170211985055,-0.8193256863726953,0.0,307965,2765089,-0.1721395518321568,0.4874274327687266,0.9301758569663924,2.472825741787824
16,407,-0.1178020084035368,5,10,12,2,4,0,30.33333333333333,0.0872611652799064,-0.8193256863726953,0.0,210831,2675172,0.4584251675593824,0.3236193910962499,-0.4384519028208025,1.09088621348703
17,242,-1.078615749956745,5,13,18,11,4,0,5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,-0.928308010752563,-1.1608909865605694,0.0910639855212011,2.0043716643977243
18,222,-0.592368723614644,5,4,14,2,4,0,27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,-0.4451296613937701,-0.2309390833157804,-0.0199635394537349,1.676453810224655
19,236,-0.4598476627580631,5,10,16,2,4,0,28.25,-0.2172440955178179,0.944839530491874,1.0,295953,2763944,0.2411646451310728,-0.0517740377365089,-0.2975323518910757,2.0277943682672293
20,237,0.2740652199726967,5,9,14,2,4,0,15.166666666666666,0.664672084339742,0.3840759808230132,1.0,287719,2760030,0.5911011897193791,0.0608439909133187,0.2874972989383961,1.8638354411806943
21,238,0.6884759295029875,5,2,5,2,4,1,32.166666666666664,-0.147150431711549,-0.8193256863726953,0.0,291632,2766676,0.5251875155972483,0.7928611771371986,-0.4384519028208025,1.2079997328345549
22,106,0.3054049848179962,5,2,9,2,4,2,7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,-0.2884078782879319,-0.3725647860117757,1.423394285220436,5.564622652562481
23,807,0.3547699211617421,5,5,5,4,4,1,42.66666666666666,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,0.6973847884793465
24,330,-0.4050992085267808,5,3,9,2,4,2,19.25,-0.3195119000876193,0.4226960600013094,1.0,280593,2767496,-0.4445638787832794,-0.111495719596266,0.0569016701442973,1.348535956051585
25,241,0.5837857334400087,5,3,4,4,4,1,40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,-0.1806262909895126,1.1767862748070657,-0.4384519028208025,1.6296084024856448
26,106,-0.12960248734452,5,6,7,2,4,2,41.25,0.132649685285605,-0.8193256863726953,0.0,306167,2769827,0.4343794066135409,1.7501144206607335,-0.4384519028208025,3.8313425662191127
27,220,-1.0768132328069002,5,4,22,2,5,0,6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,2.8944344114389136
28,334,0.9324406173439654,5,20,23,11,4,0,6.0,0.6060691850918781,0.580265983048758,1.0,278407,2757642,0.4018469065103434,0.4242930833741261,-0.4384519028208025,1.8169900334416844
